Dimensões	Hyperlink	Indicadores	marearo	Periodicidade	Tipos De Agregados	Unidades	Variaveis/Tipo	Anos	Valores
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	1 T	Microagregados	Quantidade	Tráfego	2017	9290
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	2 T	Microagregados	Quantidade	Tráfego	2017	9134
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	3 T	Microagregados	Quantidade	Tráfego	2017	9349
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	4 T	Microagregados	Quantidade	Tráfego	2017	8439
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	1 T	Microagregados	Quantidade	Tráfego	2018	8505
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	2 T	Microagregados	Quantidade	Tráfego	2018	7958
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	3 T	Microagregados	Quantidade	Tráfego	2018	8840
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	4 T	Microagregados	Quantidade	Tráfego	2018	8774
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	1 T	Microagregados	Quantidade	Tráfego	2019	8689
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	2 T	Microagregados	Quantidade	Tráfego	2019	7721
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	3 T	Microagregados	Quantidade	Tráfego	2019	9610
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	4 T	Microagregados	Quantidade	Tráfego	2019	9182
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	1 T	Microagregados	Quantidade	Tráfego	2020	8143
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	2 T	Microagregados	Quantidade	Tráfego	2020	942
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	1 T	Microagregados	Quantidade	Passageiros	2017	629815
Aéreo	www.ine.cv/sief	Estatisticas de Transporte	Aviões	2 T	Microagregados	Quantidade	Passageiros	2017	558306
